Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
hpaD, 645.3, , 20250:1:1:0, , , , , 41750:3:4:0.482143;52250:3:3:0.683333;56250:3:3:0.558824;57750:3:6:0.238095;35250:3:4:0.418605, 8250:2:3:0.955556;26250:1:1:0, , , , 20250:1:1:0.00775194
hpaE, 1118.7, , , , 53750:3:6:0.5, , , , 23250:2:3:1, , , 5250:1:1:0;20250:1:1:0, 62750:3:6:0.225352;17250:2:2:1
hpaF, 304.7, , , , , , , , , , 12250:2:2:1;57750:3:4:0.184211, 41250:1:1:0, 12250:2:2:1
hpaG, 1087.7, , , , 20750:1:1:0, , , 49750:1:1:0.0273973, , 38750:3:5:0.7, 54750:1:1:0;47250:3:3:0.765957;38750:1:1:0;51750:1:1:0, , 46750:3:3:0.913043;57750:3:4:0.110169
hpaH, 676.3, , , , , , , , , , 59250:3:6:0.119048;34750:1:1:0, 17250:2:3:1;39750:1:1:0, 49250:3:6:0.635514;36250:2:3:0.933824;4250:1:1:0
hpaI, 604.3, , , , , , , , , , 26250:1:1:0, 10250:1:1:0, 16750:2:2:1
hpaR, 445.7, , , , , , , , , , , , 53250:3:6:0.724638
hpaX, 1128.7, , , , , 19750:2:3:0.935897, , 52250:1:1:0;28750:3:3:0.632911, 27750:1:1:0, 40750:1:1:0, 57750:3:4:0.171053, 40750:1:1:0;59250:3:6:0.173913, 
hpt, 512.0, , , , , , , , , , , 45250:1:1:0, 
hrpA, 3059.3, , , , , , 25250:1:1:0, 32250:3:3:0.573171;30750:1:1:0, 7250:1:4:0;15750:1:1:0;19250:1:1:0, 37250:3:5:0.692308, , , 4750:2:2:1;8750:1:1:0;7250:2:2:1;38250:1:1:0;36750:1:1:0
hrpB, 1835.3, , , , 10750:1:1:0, , , , 25250:2:3:1;43750:1:1:0, 50750:1:1:0;41250:2:2:0.960526;40250:1:1:0;53250:3:5:0.0361446;50750:3:5:0.891566, 14250:2:2:1, , 41250:1:1:0.0114943
hrsA, 1488.3, , , , , , , 39250:1:1:0, 20250:1:4:0;20750:1:4:0.0714286, 58250:3:5:0.0963855, 13250:2:2:1;29250:2:2:1;45250:3:3:0.678571, 58250:3:6:0.56;28750:2:3:1;28750:2:6:0.892857, 750:1:1:0;12250:2:2:1;40750:3:4:0.0857143;45250:1:1:0.0104167;18250:1:1:0;15250:2:2:0.989796;750:1:1:0;21750:2:2:0.989583;15750:1:1:0
hscA, 1440.3, , , , , , , 29250:3:3:0.628571;38750:3:3:0.712121, 36250:1:1:0;19750:1:4:0, 53750:3:5:0.822222;43250:2:2:0.9, 57750:1:1:0.015625, 29750:2:3:1;13250:2:2:1, 1750:1:1:0;8250:1:1:0
hscB, 492.0, , , , , , , , , 58250:3:5:0.428571, , , 
hscC, 1377.7, , , , , , , 37250:3:3:0.576923;50250:1:1:0, , , 58250:3:4:0.2;43250:1:1:0, 40750:1:1:0;35250:1:1:0, 23250:1:1:0.0108696;30250:3:4:0.106796;21750:1:1:0;28750:1:1:0
hsdM, 1294.7, 51750:1:1:0, , , 26250:1:1:0, , 35750:3:4:0.327586;16250:1:1:0, 32250:1:1:0;8750:1:1:0;26750:2:2:1, 29250:2:3:0.965517, 19250:1:1:0, 13250:1:1:0;30250:1:1:0;12250:2:2:0.981481, 32750:2:3:1;17250:1:1:0;12250:1:1:0, 4750:1:1:0;5250:2:2:1;57250:3:6:0.704545
hsdR, 2774.7, 49250:1:1:0, , 6250:1:1:0, 14750:1:1:0, 14250:3:3:0.418605, , 57250:3:6:0.257576;21250:3:4:0.4;28750:1:1:0;23750:1:1:0;26750:1:1:0;30250:3:3:0.506849;45750:3:3:0.431034;32250:3:3:0.441176, 6250:2:3:0.93617;27750:1:1:0;49750:3:4:0.037037, 24750:2:2:1;42250:1:1:0;38750:1:1:0, 6750:2:2:1;52250:1:1:0.0163934, 29750:1:1:0;8250:1:1:0;52750:2:3:0.96;40250:1:1:0;27750:1:1:0;5250:2:2:1;49250:1:1:0;15750:1:1:0, 42250:3:4:0.025641;26750:1:1:0;4750:1:1:0;7250:1:1:0;44750:3:3:0.904459;25250:1:1:0.0175439;54250:1:1:0;35250:2:3:0.941606
hsdS, 1137.0, 9750:2:2:0.978723, 44750:2:2:0.963636, 37250:2:2:1;32250:1:1:0, 25250:1:1:0;20750:1:1:0;33250:2:2:1;25750:1:1:0, , 13750:2:2:1;21250:1:1:0, 17250:1:1:0;49750:3:4:0.373494;20250:1:1:0;13750:1:1:0;19750:1:1:0;39250:3:3:0.571429;22250:1:1:0;17250:1:1:0;27250:1:1:0, 9250:1:4:0, , 45250:1:1:0;26250:1:1:0;32750:1:1:0, 40750:2:3:1;29750:2:2:1, 43750:3:4:0.125;2750:1:1:0;750:1:1:0;9250:1:1:0
hslJ, 430.3, , , , , , , , , 36750:1:1:0.0108696, , , 17750:1:1:0;37750:3:3:0.902913
hslO, 702.0, , , , , , , 32750:1:1:0;34250:3:4:0.491803, , , , , 
hslR, 320.7, , , , , , , , , , , 45750:1:1:0, 
hslU, 1045.0, 2250:2:3:0.973333;49750:3:4:0.0521739;750:1:1:0, 2250:2:2:1, 3250:1:1:0;3250:2:2:1;8250:1:1:0, 1750:2:2:1, 5250:1:1:0;1750:2:2:0.96, 2250:2:2:1;2250:1:1:0, 1750:2:2:1, 28250:1:1:0;10250:1:4:0.0277778;1750:2:2:1, 2750:2:2:1;57750:1:1:0, 26750:1:1:0;8250:1:1:0, 1750:1:1:0;4250:2:2:0.944444, 10750:1:1:0;29750:1:1:0;4750:2:2:1;4750:2:2:1
hslV, 512.0, , , , , , , , 27750:1:1:0, 54250:3:5:0.391667, 43250:1:1:0, , 20750:2:3:0.957265
htpG, 1545.0, 8250:1:1:0;8750:1:1:0, , , , , 29250:1:1:0, 32750:1:1:0;38250:1:1:0, , , 42250:3:4:0.349206, 45250:1:1:0, 24250:1:1:0;19750:1:1:0;23750:1:1:0;12250:1:1:0;20250:2:2:1
htpX, 788.0, , , , , , , 44750:3:4:0.5, , , , 13750:1:1:0;21750:1:4:0, 10750:1:1:0
htrB, 818.3, , , , , , , 53250:1:1:0;54250:1:1:0;41250:3:3:0.478873, , , 25750:2:2:1, , 
htrC, 531.0, , , , , , , , , , 46250:1:1:0;38250:3:4:0.151515, , 17250:1:1:0
htrE, 2056.3, , , 28750:1:1:0, , , , 26750:2:2:1;59250:3:6:0.0853659, 3250:1:4:0.121951, 44250:2:2:0.883721, 13250:1:1:0;20750:1:1:0;36750:3:3:0.483333, 47250:2:3:0.947368;44250:1:1:0, 25250:2:2:0.987261;21750:2:2:1;3250:1:1:0;27250:3:3:0.436975
hupA, 304.7, 54250:1:1:0, , , 9750:1:1:0, , , 53750:3:4:0.3375;29250:3:4:0.527778, , , , 39750:1:1:0, 19250:1:1:0;20750:2:2:1;17750:1:1:0.0070922;32750:1:1:0
hupB, 303.0, , , , 8750:2:2:1, , 14750:1:1:0, , , 44750:2:2:0.855072, 12750:1:1:0, , 
hyaA, 965.3, , , , , , , , 27750:1:1:0, , 6750:2:2:0.952381, 19750:1:1:0, 10750:2:2:1;16250:1:1:0;16250:1:1:0;22750:1:1:0
hyaB, 1385.7, , , , , , , 38250:1:1:0;30250:3:3:0.647059, , , 50750:3:4:0.228571, 33750:2:3:1;24250:1:4:0, 750:1:1:0.01;29750:1:4:0.0106383;11250:1:1:0
hyaC, 577.3, , , , , , , 30250:3:3:0.675325;38250:1:1:0;32250:3:3:0.671429, , , 50250:3:4:0.121951, , 
hyaD, 443.0, , , , , , , , , , 35250:1:1:0, , 43250:3:4:0.0731707
hyaE, 303.7, , , , , , , 32750:3:3:0.634615, 2750:2:2:1, , 9750:1:1:0, 6750:2:2:1, 3250:1:1:0.01
hyaF, 656.7, , , , , , , 43750:1:1:0, , , 57750:3:6:0.314286;58750:3:6:0.166667;45250:3:3:0.644444, 35250:2:3:1;29750:2:3:1, 43750:3:4:0.0493827;1750:1:1:0;38250:1:1:0;37750:3:3:0.901408;8750:1:1:0;3250:1:1:0
hybA, 835.0, , , , , , , 54250:3:4:0.544444;32250:1:1:0, 23750:1:4:0.0666667;11750:1:1:0.0119048, 37750:1:1:0;43250:1:1:0, , 24750:1:4:0;27750:1:1:0;10250:2:2:1, 51250:3:4:0.0909091;1750:1:1:0
hybB, 913.7, , , , , , , 49750:1:1:0, 17750:1:4:0, 57250:3:5:0.902174;57250:3:5:0.87, 28750:1:1:0, 50250:1:1:0, 
hybC, 1306.3, , , , , , , 41250:3:3:0.526316;44750:3:4:0.565217, 31750:2:3:0.971014, , 53250:1:1:0;55250:1:1:0;25250:1:1:0;57750:3:4:0.22093, 46250:1:1:0, 24250:2:2:0.993197;49750:3:4:0.056962;4750:2:2:0.993421;41750:1:1:0;21750:1:1:0.00595238
hybD, 379.0, 27750:1:1:0, , , , , , , 14750:1:4:0, , 45750:1:1:0, , 
hybE, 370.0, , , , , , , , , , , , 26750:1:1:0
hybF, 259.0, , , , , , , , , , , , 10250:2:2:1
hybG, 204.7, , , , , , , , , , , , 
hycA, 455.7, , , , , , , 27250:3:4:0.450867, , , , , 
hycB, 562.3, , , , , , , , , 49750:1:1:0, , 37250:1:1:0;43750:1:1:0;17250:1:1:0, 
hycC, 1431.0, , , , , , , 53750:3:6:0.151899;30250:3:3:0.613445, , 43250:3:5:0.0849057, 54250:3:3:0.755556;43250:3:4:0.243902;54750:1:1:0;55250:1:1:0, 54250:1:1:0;42250:2:3:1, 17250:2:2:1;6750:2:2:1;8250:1:1:0;43750:3:4:0.0869565;60750:3:6:0.114286;30250:1:1:0
hycD, 714.3, , , , , , , , 30250:1:1:0, , , , 10750:2:2:1;35750:1:1:0.0131579
hycE, 1273.7, , , , , , , 27750:3:4:0.398305, , 50750:2:2:0.936709;43750:1:1:0, 16750:1:1:0;43750:1:1:0, 17250:1:4:0;23750:1:1:0;28750:1:1:0;42750:1:1:0, 36750:1:1:0.00934579;9250:2:2:1
hycF, 413.7, , , , , , , 29750:1:1:0;30250:3:3:0.625;59250:3:6:0.0217391;39750:3:3:0.57037, 4250:1:1:0, , , , 
hycG, 578.0, , , , , , , 43250:1:1:0, , , 20250:1:1:0, 4250:1:1:0;35250:2:3:1, 12750:2:2:0.989247;7250:1:1:0
hycH, 310.7, , , , , , , , , 47250:1:1:0, 56250:1:1:0, , 
hycI, 363.0, , , , , , , 28750:1:1:0, , , 14250:2:2:1, 17250:1:1:0;50750:2:3:1, 19750:2:2:0.99187;6750:1:1:0;44750:3:4:0.0852713
hydN, 507.7, , , , , , , , , 46250:1:1:0;40750:1:1:0.0958904, 11250:1:1:0, 13250:1:1:0, 
hyfA, 579.0, 9250:2:3:0.978903, , , 24250:1:1:0, 11250:3:4:0.0909091, , 27250:1:1:0;30750:1:1:0;45750:3:4:0.396552, 4250:1:4:0.0294118;2750:1:1:0, 56750:3:5:0.885965;45750:1:1:0, , 19250:1:4:0, 8750:2:2:1
hyfB, 1503.0, , , , 26750:2:3:1, , , , 6750:1:1:0;8250:2:3:1;25250:2:3:0.951613, 43250:1:1:0, 45250:1:1:0;10250:1:1:0;12250:2:2:1, 51250:1:1:0;21750:1:4:0, 11250:2:2:0.991304;25250:1:1:0
hyfD, 1111.3, , , , , , , , , 53250:1:1:0.0147059, 32750:1:1:0, 25750:1:4:0;19750:2:3:1;8250:2:2:1, 5750:1:1:0;11250:1:1:0.00833333;22250:2:2:1;20250:1:1:0;1750:1:1:0
hyfE, 497.7, , , , , , , , 24250:1:4:0.03125, , , 21750:1:4:0, 24750:2:2:0.9875
hyfF, 1179.0, , , , , , , 2750:1:1:0;38250:1:1:0;45750:3:4:0.434211, 11750:2:3:0.962963, , 43750:1:1:0, 8250:1:1:0;17250:1:4:0, 4750:2:2:0.988636
hyfG, 1223.7, , , , , , , , , , 32250:1:1:0;32250:1:1:0, 47250:1:1:0, 36750:1:1:0;7750:1:1:0;9250:1:1:0.00819672;17750:2:2:1
hyfH, 428.7, , , , , , , , , , , , 6250:1:1:0
hyfI, 575.3, , , , , , , 32250:1:1:0, 7250:1:4:0.111111, , , 16250:1:4:0;45250:1:1:0, 44750:3:4:0.0612245
hyfJ, 315.0, , , , , , , 53250:1:1:0, , , , 7750:1:1:0, 22250:2:2:1;38250:1:1:0;30250:1:1:0
hyfR, 1568.7, , , , , , , 48750:1:1:0, 20750:1:4:0;18250:1:1:0;14750:1:4:0;9250:1:4:0.0344828, , 25750:1:1:0;45750:1:1:0, 35750:1:1:0;40750:1:1:0, 30250:3:4:0.0629371
hyi, 625.3, , , , , , , 26250:2:2:1, , 55750:3:5:0.842697, 57750:3:6:0.2;52750:3:4:0.194444;50250:1:1:0, 10750:1:1:0, 39750:1:1:0;19750:1:1:0
hypA, 376.7, , , , 13250:1:1:0, , , , , , , , 8750:1:1:0.00775194;54750:1:1:0
hypB, 672.3, , , , , , , 32250:1:1:0, 9250:1:4:0, , 50250:3:4:0.333333, , 11250:1:1:0.00729927;31250:1:1:0
hypC, 204.3, , , , , , , 36750:1:1:0, , , , , 
hypD, 865.7, , , , , , , , 13250:1:1:0, 49250:1:1:0, 33750:1:1:0, , 24750:1:1:0;19250:1:1:0;29750:1:1:0;30750:3:4:0.0495868;16750:1:1:0
hypE, 758.3, , , , , , , 26750:1:1:0;42250:1:1:0, 41250:1:1:0, 56750:1:1:0, , 5250:2:2:1;23250:1:1:0;18750:1:1:0;34250:1:1:0, 6750:1:1:0
hypF, 1824.0, , , , , , , 37250:1:1:0;27750:3:4:0.35461, 3250:1:1:0;19250:1:4:0;18750:1:1:0, 42250:1:1:0, 12250:2:2:1, 27250:2:3:1, 57750:3:6:0.11;13750:2:2:1;10250:2:2:1;17750:1:1:0;6750:2:2:0.990476
iadA, 914.0, , , , , , , 43250:3:3:0.467742, , , , , 16750:1:1:0
iap, 899.0, 12250:3:3:0.972093, , , , 7750:2:2:1, 24250:1:1:0, 52250:3:4:0.298969, , , 29250:1:1:0;41250:1:1:0, 38750:1:1:0, 7250:2:2:1;25750:2:2:1;19750:1:1:0;27750:1:1:0
ibpA, 422.0, , , , , , , 51250:1:1:0, , , , 30750:1:1:0, 53750:3:6:0.138122;45750:3:4:0.0925926
ibpB, 412.0, , , , , , , , , 49250:1:1:0, , 23750:1:1:0, 
icdA, 1033.7, , , , , , , , , 58250:3:5:0.654545, , , 
iciA, 719.3, , , , , , , , , , 7250:2:2:1, , 31750:1:1:0.00952381
iclR, 740.0, 4250:2:3:0.965753;13250:1:1:0, 8750:2:2:1, 9250:2:2:1;2750:1:1:0, 11250:2:2:1;9750:1:1:0, 23250:1:1:0;23750:2:3:0.944444, 2250:2:2:1, 13250:2:2:1;6250:1:1:0, 31750:2:3:0.978723;2750:2:2:1;3750:1:1:0;25250:2:3:0.971429;11750:1:4:0.0434783, 5750:1:1:0;14250:2:2:1;8250:1:1:0, 51750:1:1:0;1250:2:2:1;7250:2:2:1, 19250:1:4:0;3750:1:1:0;3250:2:2:1;13250:1:1:0, 8250:1:1:0.00819672;1750:2:2:0.992857;6250:1:1:0
idi, 529.7, , , , , , , , , , , , 11750:1:1:0
idnD, 913.7, , , , , , , , , 51250:1:1:0, 53250:1:1:0.0178571, 13250:2:2:1, 16250:1:1:0;32750:3:4:0.0689655;35750:1:1:0;750:1:1:0
idnK, 543.7, , , , , , , 45750:1:1:0, 11750:1:1:0, 53250:1:1:0, 54250:1:1:0, 43250:1:1:0, 42750:1:1:0
idnO, 630.0, , , , , , , 49750:3:4:0.4625, , , , , 6250:1:1:0;55750:1:1:0.0111111;28250:3:3:0.816327
idnR, 844.7, , , , , , , , , , 42750:1:1:0, , 
idnT, 1118.3, 12250:1:1:0.00226757, , 49750:2:2:1, , , , 42750:1:1:0;49750:3:4:0.28, 3250:2:2:1, 34750:2:2:0.946237, 54750:3:4:0.733333, 17250:1:4:0;21750:1:4:0;18250:1:4:0;25750:1:1:0;32750:1:1:0;43750:1:1:0;5250:2:2:0.764706, 20250:1:1:0;16250:1:1:0.00729927;19750:2:2:1
ileS, 2210.7, , , , , , , , 13250:1:1:0, 53250:2:2:0.943182;40750:1:1:0;52750:3:1:0.0620155, 44250:3:4:0.1;38250:1:1:0, 40750:2:3:1;27750:1:1:0.0588235;10250:1:1:0;18250:1:1:0, 4750:1:1:0;24750:2:2:1;56250:1:1:0
ilvA, 1173.7, , , , , , , 21250:3:4:0.428571, , 42750:1:1:0, , , 44250:3:4:0.0833333
ilvB, 1394.3, , , , , , , , , 48250:1:1:0, , , 50250:1:1:0;21750:1:1:0;62250:3:6:0.516129;44750:3:3:0.880342;9250:1:1:0.0104167;10750:2:2:1
ilvC, 1182.3, , , , , , , 49750:1:1:0, , 35750:2:2:1, , 31750:1:1:0, 10250:1:1:0;27750:2:3:0.982456;60750:3:4:0.05;36250:1:1:0
ilvD, 1473.0, , , , , , , , , 38750:3:5:0.128571, , , 60750:3:4:0.140741;60750:3:6:0.0242424
ilvE, 728.3, , , , , , , 50750:1:1:0;44750:3:4:0.39726, 22750:2:3:0.9375, , , 54750:1:1:0, 10250:1:1:0;11250:1:1:0.00826446
ilvG, 1360.0, , , , , , , , 19750:2:3:1, 46250:1:1:0;40250:3:5:0.0636943;51250:1:1:0.0193548;45750:1:1:0, 41250:1:1:0, 30250:1:1:0, 4750:2:2:1
ilvH, 375.0, , , , , , , , , , , , 
ilvI, 1422.0, , , , , , , 28750:3:3:0.56338, 16250:1:1:0, , 35750:1:1:0;41750:1:1:0;26250:1:1:0, 46250:1:1:0;15250:1:1:0;58250:3:6:0.217391;41250:1:1:0, 16750:2:2:0.985185;25250:2:2:1
ilvL, 171.0, 13750:1:1:0, 14250:2:2:1, , , , , , , 55750:3:5:0.818182, , , 35250:1:1:0
ilvM, 201.3, , , , , , , , , , , 29750:2:3:1;8250:1:1:0, 19750:1:1:0;750:1:1:0;9250:1:1:0.00628931
ilvN, 228.0, , , , , , , , , , , , 
ilvY, 784.3, , , , , , , 32250:1:1:0, , 50750:2:2:0.9625, , , 41750:1:1:0.0121951;42750:3:3:0.88785;6750:1:1:0
imp, 1873.3, 29250:1:1:0, , , , , , 29250:3:3:0.647059, , 35250:1:1:0, 31750:1:1:0;50250:3:4:0.433333;24750:1:1:0;50250:3:4:0.269231;39750:3:4:0.278689;51250:1:1:0, 28250:1:1:0;7750:1:1:0;22750:2:3:1, 45250:3:4:0.0743243;27250:1:1:0;35250:1:1:0.0136986;10250:2:2:0.990476;1750:1:1:0.00735294
inaA, 613.0, , , , , , , 59250:3:6:0.0632911, , , , , 31250:3:3:0.875;42250:3:4:0.104;32750:1:1:0;55250:1:1:0
infA, 271.7, , , , 44750:2:3:1, , , , , 23250:2:2:1, 6750:1:1:0, , 
infB, 2103.3, 5750:2:3:0.955128;48250:1:1:0, 16750:1:1:0, 39750:1:1:0;6750:2:2:1, , 4250:1:1:0, 48250:3:4:0.290323, 3250:2:2:1;56250:1:1:0, 2250:2:2:1, 19250:1:1:0, 6750:2:2:1;5750:1:1:0;5250:1:1:0;12250:1:1:0, 5750:2:2:1;5250:1:1:0;5250:1:1:0;31750:2:3:1, 32750:1:1:0;4750:2:2:1;3250:1:1:0;750:1:1:0;8250:2:2:1;10250:1:1:0;31750:1:1:0;59250:3:6:0.609756;2250:1:1:0.0165289
infC, 441.0, , , 1750:2:2:1, , 4750:2:2:1, , , , 40750:3:5:0.117647, , , 
intB, 1024.3, , , , , , , 32250:1:1:0, , 55750:2:2:0.928;53250:1:1:0, 36750:3:3:0.738095;53250:3:3:0.686275;35750:1:1:0, 43750:1:1:0, 32750:1:1:0;43750:1:1:0;42750:1:1:0;40250:3:4:0.0671141
intD, 916.7, , , , , , , 58750:3:6:0.269231;58250:3:4:0.388889, 24250:1:4:0.0689655, 47250:1:1:0, 51750:1:1:0, 14750:1:1:0;41250:1:1:0, 19750:1:1:0;42250:3:4:0.0322581
intR, 976.7, , , , , , , 54750:3:4:0.382353, 12250:1:4:0.0434783, , 55750:3:4:0.341463;6250:3:4:0.321429, 42750:1:1:0.04, 25750:1:1:0;47750:1:1:0;7250:1:1:0;53750:1:1:0;42250:3:4:0.0526316;29750:1:1:0
iscA, 268.3, , , , , , , , , , 31750:2:2:1, , 
iscR, 474.3, 42250:2:3:0.924658, , , , , , , , , 53250:1:1:0;36750:3:4:0.186047, , 43750:1:1:0
iscS, 1036.7, , , , , , , 32250:3:3:0.421687;48750:1:1:0;24250:1:1:0;26750:3:3:0.478723, , , , 35250:2:3:1;41250:2:3:1;39750:1:1:0, 4250:1:1:0;35250:1:1:0;750:1:1:0
iscU, 326.7, , , , , , , , , , , , 
ispA, 692.0, , , , , , , , , , 48250:3:4:0.188679, , 
ispB, 845.3, , , , , , , , 5750:2:3:0.97619, 52750:1:1:0, , , 26750:1:1:0;33250:1:1:0.00714286
ispC, 1013.0, , , , , , , , 37250:2:3:0.96875, , 26750:1:1:0;25750:1:1:0;28750:2:2:1;28750:1:1:0, 41250:1:1:0, 12750:1:1:0.00769231;9250:1:1:0;46750:2:3:0.939655
ispD, 570.0, , , , , , , , , , , 16250:2:3:1, 1750:1:1:0
ispE, 661.7, , , , , , , , , , 18750:1:1:0, , 13750:1:1:0;36250:1:1:0
ispF, 373.7, , , , , , , , 9250:1:4:0;31250:1:1:0.0217391, , 8750:2:2:1, 29750:1:1:0;11750:1:1:0, 10250:1:1:0
ispG, 892.0, , , , , , , , , , , 27750:1:1:0, 16250:1:1:0;31750:2:3:0.930435
ispH, 726.0, , , , , , , 41750:1:1:0, 6250:1:4:0.0392157, 58250:3:5:0.42029, 41250:1:1:0, 15250:1:1:0;10750:1:1:0;25250:1:4:0, 
ispZ, 457.7, , , , , , , , , , 48250:1:1:0, , 59750:1:1:0;38250:3:4:0.114943;49750:3:4:0.0471698
ivbL, 181.7, , , , , , , , , , , , 
katE, 1824.3, , , , , , , 30250:3:3:0.593407;48750:1:1:0.0238095, , 42250:2:2:0.854701, 24750:1:1:0;12750:2:2:1;54750:1:1:0, 40750:2:3:1, 45250:1:1:0;23750:1:1:0;8250:2:2:0.990826;4750:1:1:0;43750:1:1:0;9250:1:1:0;28250:3:3:0.925926;25250:1:1:0
katG, 1765.7, 29250:3:4:0.0177305, , , 24250:1:1:0, , , 50750:1:1:0;53750:1:1:0, , , 20750:2:2:1, 55750:1:1:0;7750:1:1:0;55750:3:6:0.0645161;40750:2:3:1, 46750:3:4:0.103448;40750:3:4:0.0309278;10250:2:2:1;31250:1:1:0.00925926;10750:1:1:0
kbl, 1022.3, , , , , , , 48750:1:1:0, , , , , 
kch, 1108.3, , , , , , , , , 46250:1:1:0, , , 28250:3:4:0.068323;45750:2:3:0.961905
kdgK, 811.3, , , , , , , , 14750:1:4:0.0175439, , , 20750:1:1:0, 27750:1:1:0
kdgR, 712.0, , , , , , , , 9750:1:1:0;21250:2:3:0.9375, , 16250:1:1:0;27750:2:2:1, , 
kdgT, 828.3, , , , , , , 26250:2:2:1;28750:1:1:0, 17250:1:4:0.0263158;7250:2:3:1, , , 22250:2:3:1, 12750:1:1:0;27250:3:4:0.0890411
kdpA, 1315.7, , , , , , , , , 58250:3:5:0.6;40750:1:1:0, 43750:3:4:0.222222;17750:1:1:0, 35750:2:3:1, 25250:1:1:0;4250:1:1:0
kdpB, 1605.0, , , , , , 1250:1:1:0, 25250:2:2:1, 11750:1:1:0, 56750:3:5:0.862745;43250:2:2:0.92381, 40750:1:1:0;38250:3:3:0.716981, 9750:2:2:1;45750:1:1:0, 750:1:1:0;8750:1:1:0;13750:2:2:0.990991
kdpC, 441.0, , , , , , , , 16250:1:1:0, , , 8250:1:1:0;21250:2:3:1, 16250:1:1:0;3250:1:1:0.0119048
kdpD, 2063.0, , , , , , , 46250:3:4:0.659091;34250:3:3:0.694444, 19750:2:3:0.862069;15250:1:1:0, 50750:1:1:0, 50750:3:3:0.576923;38250:1:1:0;9250:2:2:1;40750:1:1:0;38250:3:3:0.605263;54250:1:1:0, 46250:1:1:0;32750:2:3:1;28750:1:1:0;10250:1:1:0;4750:2:2:1;23750:1:4:0, 17750:1:1:0;29750:1:1:0;10750:1:1:0.0125
kdpE, 526.0, , , , , , , , , 44750:2:2:0.923913, 34750:1:1:0, , 7750:2:2:1
kdpF, 160.3, , , , , , , , , 40250:3:5:0.137255, 35750:3:3:0.514286, , 32750:1:1:0
kdsA, 692.3, , , , , , , , , , , 14750:1:1:0, 
kdsB, 565.3, , , , , , , , , , 35750:3:4:0.190476, 11750:1:1:0, 6250:2:2:1
kduD, 621.3, 6750:3:4:0.256454;44250:2:2:0.989924, , 26750:1:1:0, 50750:2:3:1;35250:1:1:0, 12750:1:1:0.00925926, , 29750:3:3:0.553763;30750:1:1:0, , 35750:2:2:0.951613, 10250:1:1:0, 33750:1:1:0;41250:1:1:0, 8750:1:1:0;9250:1:1:0
kduI, 747.3, , , , , , , 38250:1:1:0, , , , 20250:1:1:0;11250:2:2:1;35250:2:3:1, 34750:1:1:0.00671141;10750:1:1:0;750:1:1:0
kefA, 2676.3, , , , , , , 41250:1:1:0;28250:1:1:0;26250:2:2:1, 4250:2:3:0.928571;18750:1:4:0.0740741;12750:1:4:0.0645161;5750:2:3:0.977273;18250:1:1:0;18250:1:1:0, , 58750:3:4:0.327273;56750:1:1:0, 15250:1:1:0;47250:1:1:0;37250:2:3:1;32250:1:1:0, 20250:1:1:0;52750:3:3:0.7375;21750:1:1:0;45750:1:1:0;38750:1:1:0;8250:2:2:1;750:1:1:0;1250:1:1:0;42750:3:4:0.075;21750:2:2:0.992126
kefB, 1416.0, , , , 48250:2:3:1, , , 53250:1:1:0, , 43750:1:1:0, 12750:2:2:1, 14250:1:1:0;14250:2:2:1, 38250:1:1:0;11750:2:2:0.992248;750:1:1:0.00943396
kefC, 1389.3, , , , , , , 52250:1:1:0, , 44750:1:1:0, 15750:1:1:0;50750:3:4:0.292308, 38750:1:1:0;23750:1:1:0, 10250:1:1:0;35250:1:1:0;24750:2:2:1;42250:3:4:0.0989011;50250:1:1:0;41250:1:1:0
kgtP, 1124.7, , , , , , , 39250:3:3:0.427083, , 42250:3:5:0.869919, 21750:1:1:0;10250:1:1:0, , 
kil, 277.3, , , , , , , , , , , , 60250:3:4:0.0406504;60750:3:6:0.691729
kptA, 526.7, , , , , , , , , , 34750:1:1:0;58250:3:6:0.171875;46250:1:1:0.0535714, , 
ksgA, 633.7, , , , , , , 53750:3:4:0.454545, , 47250:1:1:0;57250:3:5:0.873874;44750:2:2:0.945946, , , 7250:1:1:0
kup, 1510.0, , , , 35250:1:4:0, , , 41250:1:1:0;47750:3:4:0.426471, 6250:1:1:0;12750:1:1:0;4250:2:2:1, 57750:3:5:0.0658683;39750:3:5:0.0740741;34750:2:2:1, 22250:1:1:0;33250:1:1:0;34750:3:4:0.25;25750:1:1:0;25750:1:1:0, 42250:1:1:0.111111;40750:1:1:0;28250:1:1:0;27750:1:1:0, 36750:1:1:0;13250:1:1:0
lacA, 552.7, , , , , , , 30250:3:3:0.542169, , , 56750:3:4:0.285714, , 
lacI, 903.0, , , , , , , , 6250:1:1:0;25750:2:3:0.984375, , 20750:2:2:1, 2750:2:2:1, 27250:1:1:0;42750:1:1:0;750:1:1:0;30750:1:1:0
lacY, 1047.3, , , , , , , 41750:1:1:0, 34750:2:3:1, , , 16250:1:1:0;35250:1:1:0;37250:1:1:0;27750:1:1:0, 38750:1:1:0;16250:1:1:0;34250:1:1:0.0078125;41250:2:3:0.946429
