"ECB_00376"	"ECB_00737"	"ECB_01992"	"ECB_02008"	"ECB_02804"	"ECB_03523"	"ECB_04210"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"araE"	"atoC"	"atpF"	"cbpA"	"clpB"	"cls"	"crp"	"dapA"	"efeO"	"endA"	"fadH"	"fcl"	"fruK"	"glgC"	"glgP"	"glmM"	"glpF"	"glpG"	"hupB"	"iclR"	"ilvE"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"mdoG"	"metA"	"motB"	"mrdA"	"mreB"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"orn"	"pdhR"	"puuP"	"rep"	"rhlB"	"rho"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoH"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"slyA"	"speB"	"thiI"	"thrB"	"thrS"	"tldD"	"truB"	"wzyE"	"ybaL"	"ydiJ"	"yehU"	"yejA"	"yejM"	"ylbH"	"ynjA"
"rpoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494564727849394	0	0.0602347331586078	0	0	0	0	0	0	0	0	0	0.0644825497262744	0	0	0	0	0	0	0	0	0	0	0.110251816289036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667268597109147	0	0	0	0	0	0	-0.108299444324004	0	0	0	0	0	0	0	0	0	0	0.0508880731075597	0	0	0	0	0.0267189329620589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0	0	0	0	0	0	0.104340743739554	0	0	0	0	0	0	0	0	0	0	-0.0152186041969916	0	0	0	0	0	0	0.0732981782429595	0	0	0	0	0	0	0	0	0	0	-0.0972960383135686	0	0	-0.0067823743972671	0.109573240300026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rsmC"	0	0	0	0	0	0	0.0054190863241529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.200834486891181	0	0	0	0	0	0	0	0	0	0.0235698915255063	-0.000783107512719892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0159188458791148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0.0468711692090931	0	0	0	0.0687833769443629	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0359800730796167	0	0	0	0.0685828342072707	0	-0.0184828020216568	0	0	0	0	0	0	0	0.0579509011686259	0	0	0.117744107723793	0.0729877354747153	0	0	0	0.0643004587098523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0730881452876233	0	0	0	0	0	0	0	0	0	0.0326221264384889	0
"slyA"	0	0	0	0	0	0	0.00789273765716382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.203059535427956	0	0	0	0	0	0	0	0	0	0.0256951667279583	-0.000766800570121471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159188458791148	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"speB"	0	0	0	0	0	0	0	0	0.0361115881903033	0	0	0	0	0	0	0	0	0	0.0174398359048721	0	0	0	0	0	0	-0.0719899728313513	0	0	0	0	0	0	0	0	0	0	0.15174104679579	0	0	0.0503794511700165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"thiI"	0	0	0	0	0	0	0	0	0	0.0300301554486044	0	0	0.0914964770225885	0	0	0	0	0	0	0	0.0918142262154101	0	0	0	0	-0.0983669817483809	0	0	0	0	0.0781455332266525	0	0	0	0	0	0.0185866074254876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"thrB"	0	0	0	0	0	0.117355970419672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00922248148358	0	0	0	0	0	0	0	0.106206657297023	0	0	0.0402219593765741	0.122069207308741	0	0	0	0.0252087529381335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0730881452876233	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"thrS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089992858709216	0.0631485316743827	0.0819706964327969	0	0	0	0	0	0	0	0.129430845009372	0	0	0	0	0	0	0	0	0.077168028147587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"tldD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180146075820805	0	0	0	0	0	0	0	0	0	0	0.0865380300456077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"truB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205441063616579	0.132713093338531	0.131332140573687	0.117820979954658	0	0	0	0	0	0	0	-0.0365545430183256	0	0	0	0	0	0	0	0	0	0	0.121353838453933	0	0	0	0	0	0	0.124182132358295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"wzyE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0650716815013718	0.0932159654898927	0	0	0	0	0	0.129241417001676	0	0	0	0.00862213398679636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074207287555988	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00501621236021666	0	0	0	0	0	0	0	0	0	0	0.0126173239696572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"ydiJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018890814196523	0	0	0	-0.011913946103662	0	0	0.0165206040379309	0	0	0	0.0441903302498335	0	0	0	0	0	0	0	0	0	0	-0.195384287912959	0	0	-0.00732850818052079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0189235949198805	0	0	0
"yehU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172991986911565	0	0	0	0	0	0	0	0	0	0	0.245884399140008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"yejA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278437611508157	0	0	0	-0.0198987043589349	0	0	0.0256421584550588	0	-0.00183033747792285	0	0.043537037944448	0	0	0	0	0	0	0	0	0	0	-0.200751670874838	0	0	-0.014317239115179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189235949198805	0	1	0	0	0
"yejM"	0.0484517383373214	0	0	0.0552376782113157	0	0	0	0	-0.00265291197740141	0	0	0	0	0	0	0	0	0	-0.0389197264942103	0	0	0	0	0	0	0.207189335318484	0	0	0	0	0	0	0	0	0	0	-0.0646612806258767	0	0	-0.015388606621591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ylbH"	0	0.0835484102050111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0738097836387501	0	0	0	0.100969311168153	0	-0.00987084307878101	0	0	0	0	0	0	0	0	0	0	0.0912646164251722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326221264384889	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ynjA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184578683820055	0	0	0	0	0	0	0	0	0	0	0.088573283952771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
