"ECB_01992"	"ECB_01996"	"ECB_02821"	"ECB_03516"	"ECB_04076"	"ECB_04210"	"ESCRE0749"	"ESCRE1901"	"abgB"	"actP"	"aspA"	"atpG"	"bglJ"	"cls"	"crp"	"cysQ"	"dapA"	"dgsA"	"dnaA"	"dusB"	"ebgA"	"envZ"	"fbp"	"fis"	"flhA"	"fruK"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gspG"	"hupB"	"hyfG"	"iclR"	"ilvL"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lysR"	"manX"	"manZ"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"napA"	"nrdR"	"nuoA"	"nuoN"	"nusA"	"ompR"	"orn"	"ppiA"	"ppk"	"prfA"	"proW"	"pta"	"pyrB"	"rep"	"rhlB"	"rho"	"rmlA"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsR"	"rsmC"	"rssB"	"secF"	"slyA"	"sufD"	"thrA"	"tldD"	"truB"	"ubiB"	"uspA"	"uvrD"	"vacJ"	"valT"	"wbbC"	"yahA"	"yahG"	"ybaL"	"ybeA"	"ybiW"	"ycbS"	"ycgV"	"ycjP"	"ydaE"	"yddV"	"yehU"	"yfcD"	"yfeY"	"yfgA"	"yfhK"	"ygfA"	"ygfK"	"ygjF"	"yhhF"	"yjbA"	"yjcO"	"yjhA"	"ynjA"	"zraR"
"kpsT"	0.024213118027012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.033469281464362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107387075059622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119332898115974	0	0	0	0	0	0	0	0	0	0	0	0	0
"lysR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421405218920205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0673970467027629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"manZ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175534333131707	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137330979115404	0.145658854567491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00250486333914261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0356973825795173	0	0	0	0	0	0.105430753818275	0	0	0	0	0	0	1	0	0	0.0881049627881064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0711623999559904	0	0	0	0	0.0926259557012906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111533370580844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mraZ"	0	0	0.116823144389235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0940697049899732	0	0	0	0	0	0	0.111442789125473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0633278518651313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0.0465243544301908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000745797867104654	0	0	0	0	0	0.033469281464362	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00163924837931635	0	0	0.00554507503536725	0	0.0432270155098872	0	0	0	0	0	0	0	0	0.118419546143717	0	0	0	0	0	0	0	0	0	0	0	0	0
"mrdB"	0	0	0	0	0	0	0	0.0432669818060281	0	0	0	0	0	-0.0145086776556777	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0239740832857978	0	0	0	0	0	0	0	0	0	0	-0.129186581794146	0	0	0	0	0	0.0703688628951944	0	0	0	0	0	0	0.0881049627881064	0	0	1	0	0	0	0	0	0	0	0	0	-0.0187809302813695	0	0	0	0	0	0	0	0	-0.0125850296386098	-0.101071313830048	0	0	0	0	0	0.119521326845928	0	0	0	0	0.0542821753915101	0	0	0.081995194817496	0	0	0	0	0	0	0.0774015359915886	0	0	0	0	0	0	0	0	0	0.073555577044835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238739298172043	0	0	0	0.0317700168234513	0	0	0	0	0	0	0	0	0	0	0	-0.0475960993470229	0	0	0	0	0	0.0420821393985884	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0641825993124977	0.039180277603109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243897870244155	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0643312051127554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mreD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"murE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"napA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209513231497231	0	0.0395658464908406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0284877030208365	0	0	0	0	0.0115391703994753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nrdR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008417508691142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nuoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nuoN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286753954572388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.124559044049172	0	0	0	0.0485782397340125	0.0395648085419322	0	0	0	0	-0.0213462596151527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nusA"	0	0	0	0	0	0	0	0.0227112890851134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0624698615146901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00244125224913429	0	0	0.0556767920358468	0	0	0	0	0	0	0	0.137330979115404	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.163811881051954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00388963875660412	0	0	0.249443126120066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ompR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0884681129563869	0	0	0	0	0	0	0	0	0	0	0	0	0.0744807259697091	0	0	-0.00744315783676489	0	0	0	0	0.145658854567491	0	0	0	0	-0.0187809302813695	0	0	0	0	0	0	0	0	0.163811881051954	1	0	0	0	0	0	0	0	0	0	0.0738379201782452	0	0	0	0	0	-0.0992797314823143	0	0	0	0	0	0.106308443486345	0	0	0	0.0939631422612183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"orn"	0	0	0	0	0	0	0	-0.00414819190802042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0716875551606298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.160149783684414	0	0	0	0	0	0	-0.0619019418557624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ppiA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ppk"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14717854822078	0.110524946542193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.107987963895936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133824831111611	0	0	0	0	0	0	0	0
"prfA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"proW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421405218920205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0860863924816719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124559044049172	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"pyrB"	0	0	0	0	0	0	0	0.0854510421903804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0735537401706376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.00860416631243866	0	0	0	0	0	0	0	0	0	0	0	0.0291193375562725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rep"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rhlB"	0	0	0	0	0	0	0	-0.0277759902814268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0926875805981821	0	0	0	0	0	-0.0093527550393796	0	0	0	0	0	0	0	0	0	-0.0125850296386098	0	0	0	0	0	0	0	0	0	0	0.160149783684414	0	0	0	0	0	0	0	1	0.0372111289224609	0	0	0	0	-0.0178609241345032	-0.078571837689082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rho"	0	0	0	0	0	0	0	-0.13808661997727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0169985865729153	0	0	0	0	0	0	0	0	0.014466576133352	0	0	0	0	0	0	0.196819294716876	0	0	0	-0.00337530074931182	0	-0.0742643231534987	0	0	0	0	0	0	0	0	0	-0.101071313830048	0	0	0	0	0	0	0	0.0485782397340125	0	0.0738379201782452	0	0	0	0	0	0	0	0	0.0372111289224609	1	0	0	0	0	-0.145356851637213	-0.260322149955596	0	0	0	0	-0.0202429056541013	0	0	0	0	0.00445319788916076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0210055824137621	0	0	0	0	0	0	0	0	0	0	0
"rmlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0395648085419322	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rnc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpoC"	0	0	0	0	0	0	0	0.159169991999956	0	0.0200076368351028	0	0	0	0	0	0	0	0	0	0.00192366122388854	0	0	0.192237619766873	0	0	0	0.103631774125387	0	0	0.00252820736430828	0	-0.0414945547663677	0	0	0	0	0	0	-0.155214896700996	0	0	0	0	0.054092782192668	0	0	0	0	0	0	0	0	0	0	0	0.0641825993124977	0	0	0	0	0	0	0	0	0	0	0	0.107987963895936	0	0	0	0.00860416631243866	0	-0.0178609241345032	-0.145356851637213	0	0	0	0	1	0.0160168430761201	0	0	0	0	0	0	0	0	0	0	0.00799085705318098	0	0	0	0	0.0695444703029403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0413998899953276	0	0	0	0	0	0	0	0
"rpoD"	0.085206908166848	0	0	0	0	0	0	0.046455945000878	0	0	0	0	0	-0.0488656482476154	0.0554792181685669	0	0	-0.00861638315010126	0	0	0	0	0	-0.0406946126604425	0	0	0	0	-0.0235675761938625	0	0	0	0	-0.0269030940967254	0.0793107371574364	0	0.0620542493961114	0	-0.201953540968623	0	0	0	0	0	0.168664583138043	0	0	0	0	-0.00250486333914261	0	0.0711623999559904	0	0	0.119521326845928	0.039180277603109	0	0	0	0.0284877030208365	0	0	-0.0213462596151527	0	-0.0992797314823143	-0.0619019418557624	0	0	0	0	0	0	0	-0.078571837689082	-0.260322149955596	0	0	0	0	0.0160168430761201	1	0	-0.0522777680153033	0	0	0.160041457529307	-0.00771558252955083	0.0487262286945019	0.0711644076144178	0	-0.0264110575819132	0	0	0	0	0.0672061434206869	0.119878363626417	0	0	0	0	0	0	0	0	0.0586759714851375	0	0	0	0	0	0.0962907247407305	0	0	0	0.039852022189664	0	0	0	0	0
"rpoS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107387075059622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0507293321141348	0	0	0	0	0	0	0	0	0	0	0	0	0
"rpsR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0800186254552265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0841418159445302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0522777680153033	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rsmC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00388963875660412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0733403648872406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"rssB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"secF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0854991492518998	0	0.0871287703133684	0	-0.0541160086861386	0	0	0	0	0	0.08100038839378	0	0	0	0	0	0	0.0926259557012906	0	0	0.0542821753915101	0	0	0	0	0.0115391703994753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0202429056541013	0	0	0	0	0	0.160041457529307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0772776584560512	0	0	0	0	0	0	0	0	0	0.0302246378299349	0	0	0	0	0
"slyA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00419895882084825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249443126120066	0.106308443486345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00771558252955083	0	0	0.0733403648872406	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sufD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0487262286945019	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0681817967605184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"thrA"	0	0	0	0	0	0	0	0.0834017239669225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0308209546559314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081995194817496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0711644076144178	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0923170449128974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tldD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"truB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127059441896697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0939631422612183	0	0	0	0	0	0	0	0	0	0.00445319788916076	0	0	0	0	0	-0.0264110575819132	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ubiB"	0	0	0	0	0	0	0	0.0850820523846331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729307908843473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0291193375562725	0	0	0	0	0	0	0	0.00799085705318098	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
