Gene	Position
ubiI	3051507
epd	3073237
yggF	3075233
cmtA	3078852
yqgC	3086296
yggI	3090138
nupG	3106905
pppA	3113662
glcB	3123022
yghO	3129500
hybO	3145871
exbB	3151425
yqhG	3158370
yqiC	3185000
rpoD	3214757
ebgA	3222930
agaS	3282504
agaD	3285690
rsmI	3292538
lptA	3343891
yhbJ	3347929
yrbL	3348905
aaeA	3388394
yhdP	3395394
acrE	3414083
yhdV	3418548
yhdY	3421860
def	3433765
gspB	3453610
gspM	3465441
gspO	3465938
fusA	3472207
fkpA	3477170
yhfY	3511332
rpoH	3600071
nikB	3615749
yhjG	3676878
bcsZ	3689625
dppA	3706174
insJ	3720772
yiaN	3745543
aldB	3755416
mtlD	3775526
gpsA	3783086
waaF	3795250
waaZ	3799390
waaS	3804410
recG	3826151
xanP	3830265
uhpB	3849229
emrD	3854092
chrR	3894654
pstC	3909590
rsmG	3923070
asnC	3926801
yifB	3948805
rep	3961917
rhlB	3965557
wecA	3968037
pldA	4005694
polA	4047494
glnA	4057170
yihY	4076627
rhaB	4096517
tpiA	4110959
zapB	4118583
metB	4129619
yijE	4136860
argB	4156678
malF	4244739
malE	4246411
ghxP	4279634
alsA	4310291
phnJ	4319473
basS	4332869
cadA	4357276
yjeH	4369494
yjeJ	4373635
epmB	4375282
ytfL	4441175
tamA	4443244
treC	4464629
ridA	4470611
lptG	4487535
yjgR	4489696
idnD	4493661
ahr	4495332
sgcA	4527562
fimA	4543180
fimI	4544191
lgoR	4595843
dnaC	4600589
ribF	21581
thiP	73762
murF	95633
guaC	113831
yadN	156412
lpxD	201558
rcsF	219650
yafD	231586
yafK	245803
proB	261052
argF	289772
yagL	293780
rclA	319348
ykgE	322098
yahF	337217
prpC	350431
brnQ	420175
yajR	445781
cyoB	449399
cof	467458
ushA	505757
ybaK	506758
fetA	516003
hyi	536135
rusA	573440
nohD	580905
ybdH	632923
ybdN	635896
ahpF	640862
holA	671531
hscC	683121
chiP	709223
pgm	713788
dtpD	742336
nei	746063
ybgD	752402
sucD	764978
cydB	773987
pnuC	783866
galE	791349
ybhC	806505
fiu	839332
opgE	852261
moeB	865008
potG	895545
artI	902473
pncB	989969
mgsA	1026864
hspQ	1028652
tusE	1030407
hyaD	1036083
hyaF	1037464
etp	1044364
gfcE	1044785
yccE	1065209
pgaD	1086260
ymdA	1105536
opgH	1112317
lpxL	1116482
yceJ	1118516
flgI	1136783
pinE	1209825
fadR	1235563
treA	1245903
dhaL	1249389
ychH	1258991
fabI	1350817
ycjD	1351693
ycjN	1372620
mpaA	1390113
mppA	1393315
fnr	1399120
ydaM	1407462
recT	1414019
racC	1417546
ydbH	1443966
ynbD	1481041
ydcR	1511099
curA	1520008
maeA	1554117
dosP	1564585
ydeN	1581323
lsrA	1601769
eamA	1621054
stfQ	1635059
ydfU	1644142
ynfD	1657767
ynfF	1661308
mlc	1667344
pntB	1675350
rstB	1684175
add	1702700
pdxY	1715061
ydhK	1722854
sodB	1735897
purR	1738343
sufC	1762338
ydjN	1812173
chbC	1820136
spy	1825480
astA	1830359
ynjB	1836204
ynjE	1840240
ydjJ	1857841
yeaK	1873602
manZ	1904621
kdgR	1910043
cheY	1967135
cheB	1968408
cheW	1973169
uvrY	1995320
fliZ	2000873
fliF	2013640
yedV	2036909
nac	2061729
hisD	2092066
gmd	2127360
wzb	2135962
yegP	2165366
yegQ	2166540
yehW	2215997
dld	2223735
dusC	2230208
mglC	2237322
mglB	2240094
psuK	2258486
napB	2298294
ubiG	2340022
nrdA	2346057
arnB	2366415
elaB	2380852
yfbO	2388713
nuoN	2391193
lrhA	2406097
alaA	2408553
ackA	2414597
hisJ	2426751
fadJ	2457127
fadI	2459283
emrK	2482862
frc	2493127
xapB	2523413
cysU	2542393
murP	2547591
yffP	2562984
yfgM	2639156
sseA	2653260
yfhG	2689476
mltF	2697352
bamD	2736687
rplS	2744303
yfjM	2765666
yfjW	2774632
mprA	2811279
pncC	2823930
srlR	2829493
srlQ	2830088
hycD	2846715
hypC	2852122
ygbK	2863165
ispF	2871308
ygbE	2873023
cysI	2889269
ygcQ	2895747
mazG	2910133
mltA	2946757
lgt	2965748
rppH	2968916
ygeV	3005344
ygeW	3007295
guaD	3026239
yqfB	3043412
ygfB	3055285
ygfI	3066288
yggE	3067677
yggW	3097854
yggM	3099504
glcA	3120810
glcF	3124562
gss	3138483
hybC	3142833
yqiH	3189993
mug	3214968
yqjI	3216824
alx	3238707
exuT	3245522
tdcG	3259479
garK	3271600
garD	3276481
agaC	3284931
agaI	3286815
deaD	3306716
kdsC	3342683
lptB	3344045
rpoN	3346060
acrF	3418135
rplX	3447579
rplV	3450125
rplD	3451938
chiA	3469498
yhfS	3505331
ugpB	3591739
yhiM	3634940
yhiD	3655564
gadW	3664360
dppF	3702561
cspA	3720202
bax	3736663
lyxK	3748385
tdh	3790538
waaU	3798803
waaO	3802147
spoT	3823683
adeD	3844805
yidJ	3858248
yidR	3868399
dgoK	3873863
gyrB	3880017
bglB	3902316
atpF	3920872
ppiC	3959758
wecC	3971307
wecE	3975924
frvX	4090709
priA	4125041
ppc	4151642
sthA	4160278
nfi	4199332
zraS	4202604
pepE	4229765
nrfG	4293898
yjcS	4305268
alsR	4312566
phnK	4318211
melR	4340898
dcuS	4351093
cadC	4361357
yjeM	4384861
yjeN	4385643
yjeO	4385906
hflX	4401304
hflC	4403556
rlmB	4409911
fklB	4429264
ytfE	4431613
yjgA	4457798
yjgN	4479980
lptF	4487041
fimC	4544910
mdtM	4568417
deoD	4621471
nadR	4627489
creB	4636673
