"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ycfC"	0	0	0	0	0	0.0070698265910695	0	0	0	0	0	0	0	0	0.0697861017151207	0.160571592772837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0110915670723014	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0209056580551081	0.0105750831127507	0	0.0459531458856807
"yebY"	0	0	0	0	0	0.0403525119589981	0	0	0	0	0	0	0	0	0.0984608422378208	0.162153790765957	0	0	0.034509165116988	0	0	0	0	0	0	0	0	0	0.022353136121279	0	0	0	0	0	0	0	0	0	0	0	-0.00704721014815641	0	0	0	0	-0.00690491984916036	0	-0.00189344820135433	0	0	0	0	0	0	0	0	0	0.00327374365909508	0.00911998042132516	0	0	0	0.0110915670723014	1	0.00679830003220423	0	0	0	0	0	0	0	0	0	0	0	0	-0.0239075415951133	0.0141595825719817	0	0.0661489021368139
"yecE"	0	0	0	0	0	0.00255731540106938	0	0	0	0	0	0	0	0	0.0642818057577287	0.160486052200824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00679830003220423	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0187827487047854	0.0115174406638217	0	0.043266298044654
"yeeR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271830701430227	0.160582209586139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.00224240318156729	0.00882753182481725	0	0.0217080827052152
"yeeU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529144474546792	0.159749864022251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0148733745696835	0.0128405345433067	0	0.0374699027311418
"yegO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237005587904859	0.161157670098167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.000128765109354636	0.00761492676756359	0	0.0193257737200714
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119103074992839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.118980215889678	0	0
"yfcTU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261378419724143	0.160737324905429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.00163446050499218	0.00847972242462702	0	0.0209999533412277
"yggM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.23708560481327	0	0
"ygjD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.237226362091053	0	0
"yhdG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13615012577146	-0.00912183739508957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0543711425280861	0	0	0
"yhdJ"	0	0	0	0	0	0	0	0	0	0	0	0	0.167288861766605	0	-0.0361944106621873	-0.0311429414296398	0	0	0	0	0	0	0	0	0.0212268259204253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212451946388021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0959606339619724	0	0	0
"yieO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143108305004795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.178843540833843	0	0.0125765569334504
"yihP"	0	0	0	0	0	0	0	0	0	0	0	0	0.169828197061058	0	-0.0364837865113255	-0.0219877940827584	0	0	0	0	0	0	0	0	0.0103834087751235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010404838965111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.0916778478047186	0	0	0
"yjcE"	0	0	0	0	0	0	0	0	0	0	0	0	-0.00120084462028847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.216399592704009	0	0	0
"yjjY"	-0.013825257197398	0.235105145677242	-0.0960013667978325	0	0.229549288674979	-0.0253721022285893	-0.0908060768028827	-0.156307408948263	0	-0.00972590380849775	0	0	-0.101460006127388	0	-0.0534537100624533	-0.0182698525309982	0	0	-0.0271720099289293	0	0	0	0.11851577816558	0.1338657518487	-0.109929598098135	0	-0.0341308027313686	0.220623288199629	-0.0587626418976809	0	0	0	0.228739754404248	0	-0.01380548179894	0	0	0	-0.091372734993114	0.227567252165675	0	0	0	0	0	0	-0.0901003051954684	0	0.228638584171232	-0.109832243987	0	0.217898621962952	0.209164773394191	0	-0.09306401255629	0.215245836912758	-0.201865357129984	-0.0173809758785709	-0.0510282008958621	0.227867215583839	0	0.236230399358838	-0.0209056580551081	-0.0239075415951133	-0.0187827487047854	-0.00224240318156729	-0.0148733745696835	-0.000128765109354636	0	-0.00163446050499218	0	0	0.0543711425280861	-0.0959606339619724	0	-0.0916778478047186	0.216399592704009	1	-0.00717556823653903	-0.0902335627231873	-0.0140541335209778
"ylcG"	0.0126050889415218	0	0	0.227866534175307	0	0.0128365474335763	0	0.143670262926164	-0.118936359169088	0.0120109062718812	0.23337824009484	-0.195328637231145	0.00511329211761174	-0.0824695510618534	0	0	-0.119807797168381	0	0.00878277340023606	-0.147019014377266	0.236475908406526	-0.0431739665266989	-0.0647863302366205	0.166937329989268	0	0.157249108262311	0.134471142519623	0	-0.0713613486905074	0	0.236234289271988	0.107997543102803	0	0.239610692638937	0.0128400515342507	-0.113848141292354	0.232801807028902	0	0	0	-0.0900964338454835	-0.127015150232579	0.246904732402513	0.2350641693234	-0.110439175675709	-0.0899650356792518	0	-0.0854504092676899	0	0	0.0732465065972852	0	0	-0.0787663076879279	0	0	-0.097752447919188	0.0121875627602977	-0.0645619300651289	0	-0.121866232644618	0	0.0105750831127507	0.0141595825719817	0.0115174406638217	0.00882753182481725	0.0128405345433067	0.00761492676756359	-0.118980215889678	0.00847972242462702	0.23708560481327	0.237226362091053	0	0	0.178843540833843	0	0	-0.00717556823653903	1	0	0.0156604746023012
"yqeB"	0	0	0	0	0	0	0	0	0	0	0	0	0.170986152744	0	-0.0366270800130042	-0.0190052221080086	0	0	0	0	0	0	0	0	0.00662783520975738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00664960279772643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0902335627231873	0	1	0
"yqhH"	0.0360554685372464	0	0	0	0	0.0651701019253569	0	0	0	0.0308032584302039	0	0	-0.0231256467214428	-0.0424657170936173	0.0908225351314317	0.0963406661665205	0	0	0.0615080015842552	0	0	0	0	0	0	0	0	0	0.0419422575924953	0	0	0	0	0	0.0358876387723515	0	0	0	0	0	-0.0475492772413993	0	0	0	0	-0.0474767059168034	0	-0.0446817645552052	0	0	0	0	0	-0.0391410777872349	0	0	0	0.0410429075772852	0.032432041371004	0	0	0	0.0459531458856807	0.0661489021368139	0.043266298044654	0.0217080827052152	0.0374699027311418	0.0193257737200714	0	0.0209999533412277	0	0	0	0	0.0125765569334504	0	0	-0.0140541335209778	0.0156604746023012	0	1
